RouteID,RouteName,RouteDirection,AgencyName,ClusterName,Metropolin,OriginCityName,DestinationCityName,RouteType,ServiceType,RouteParticular,BusType,BusSize,NumOfAlternatives,RouteLength,WeeklyKM,AVGPassengersPerWeek,StationsInRoute,OperationSince,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),MaxRidership,lines_before_year_and_half,OperationSinceIndex,lines_before_current_time,normalized_stations_per_length
18044,44,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,תרדיון,מנוף,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,1,12.9,154.26,0.2,15,מעל שנה וחצי,2,12,4.7,25.5,2.1,ימי חול - 15:00-18:59,378,0,0,0.002788467
19034,34,2,נתיב אקספרס,הגליל,גולן גליל ועמקים,תרדיון,ראס אל עין,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,2,39.9,1309.93,0,39,מעל שנה וחצי,6,33,9.1,50.4,1.5,ימי חול - 09:00-11:59,378,0,0,0.002343989
19139,139,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,תרדיון,טל אל,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,1,41.5,1617.95,0,30,מעל שנה וחצי,7,39,12,65.2,1.7,שישי - 06:00-08:59,378,0,0,0.001733553
22043,43,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,תרדיון,הררית,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,2,23.8,690.31,0.1,20,מעל שנה וחצי,5,29,8.9,52,1.8,שישי - 12:00-14:59,378,0,0,0.002015195
17177,177,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,תרדיון,הגליל העליון,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,77.3,1159.37,0.1,33,מעל שנה וחצי,3,15,18.9,94.5,6.3,ימי חול - 12:00-14:59,378,0,0,0.001023761
49001,1,2,נסיעות ותיירות,קווי נצרת - נסיעות ותיירות,גולן גליל ועמקים,תרדיון,סח'נין,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,8.9,2011.95,0.2,27,מעל שנה וחצי,34,225,62.6,380.7,1.7,ימי חול - 06:00-08:59,157,0,0,0.018498219
11376,376,2,אגד תעבורה,עוטף ירושלים,י-ם,תקוע,ירושלים,אזורי,מאסף,סדיר,בינעירוני ממוגן אבן,אוטובוס,1,30,1081.58,0.2,24,מעל שנה וחצי,6,36,40.2,225.5,6.3,ימי חול - 12:00-14:59,259,0,0,0.003041825
12265,265,2,אגד תעבורה,עוטף ירושלים,י-ם,תקוע,ירושלים,אזורי,מאסף,לילה,בינעירוני ממוגן אבן,אוטובוס,1,35.5,213.29,0,28,מעל שנה וחצי,0,6,1,9,1.5,ימי חול - 19:00-23:59,259,0,0,0.002998982
12366,366,2,אגד תעבורה,עוטף ירושלים,י-ם,תקוע,ירושלים,אזורי,מאסף,סדיר,בינעירוני ממוגן אבן,אוטובוס,1,39.3,1374.59,0.3,26,מעל שנה וחצי,6,35,71.8,398.6,11.4,ימי חול - 06:00-08:59,259,0,0,0.002515504
27031,31,2,דן בדרום,צפון הנגב,הדרום,תפרח,אופקים,אזורי,מאסף,סדיר,בינעירוני,אוטובוס,1,18.2,1563.74,1.2,45,מעל שנה וחצי,15,86,329.1,1833.6,21.3,ימי חול - 06:00-08:59,228,0,0,0.010010233
11588,588,2,קווים,חשמונאים,י-ם,תפרח,מודיעין עילית,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,106.6,426.6,0.2,61,מעל שנה וחצי,0,4,0,66.5,16.6,שישי - 09:00-11:59,872,0,0,0.000636521
11593,593,1,גלים,רהט והנגב המערבי,הדרום,תפרח,בני ברק,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,113.4,7143.51,0.3,45,לפני 18 חודשים,11,63,327.3,1855.9,29.5,ימי חול - 06:00-08:59,29,1,1,0.006105006
12498,498,1,גלים,רהט והנגב המערבי,הדרום,תפרח,ירושלים,בינעירוני,מהיר,סדיר,בינעירוני,אוטובוס,1,104.5,836.03,0.2,20,לפני 18 חודשים,0,8,0,146.5,18.3,שבת - 19:00-23:59,29,1,1,0.002944424
