"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2000","2000",10.035593835981,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2004","2004",4.2463219092314,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2005","2005",4.5858973854853,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2006","2006",4.1508193198416,,
"ALB","Albania","IND-EQUI-RAILTONS-GDP","Rail freight loading capacity per one million units of current USD GDP","2007","2007",3.0000960391641,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2000","2000",11.330428643065,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2004","2004",10.068257074226,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2005","2005",12.261716553981,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2006","2006",12.339321654764,,
"ALB","Albania","IND-EQUI-RAILTONS-PC","Rail freight loading capacity per one thousand inhabitants","2007","2007",10.785460150565,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2004","2004",0.07149066658123,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2005","2005",0.0799807279728,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2006","2006",0.08947586430929,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2007","2007",0.09869045051257,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2008","2008",0.07739513141424,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2009","2009",0.08438912768547,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2010","2010",0.10592779185261,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2011","2011",0.10088993730431,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2012","2012",0.10109713980339,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2013","2013",0.09920661618778,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2014","2014",0.08718265339836,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2015","2015",0.10215658254782,,
"ALB","Albania","IND-EQUI-AIRSEATS-GDP","Available seat capacity for scheduled flight per one thousand units of current USD GDP","2016","2016",0.09323078742209,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2004","2004",169.50820614489,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2005","2005",213.85149595532,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2006","2006",265.98880485419,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2007","2007",354.79594897942,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2008","2008",338.25849570151,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2009","2009",347.18818221163,,
"ALB","Albania","IND-EQUI-AIRSEATS-PC","Available seat capacity for scheduled flight per one thousand inhabitants","2010","2010",433.70542127915,,
